Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Trafikkmengde;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;27;20;34;100,0;30;30;0;27;0,0;1;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;25;21;29;100,0;30;30;0;25;0,0;2;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;25;21;29;100,0;30;30;0;25;0,0;Totalt i retning Planetariet/UIT;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;27;20;34;100,0;30;30;0;27;0,0;Totalt i retning UNN;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;52;42;62;100,0;30;30;0;52;0,0;Totalt;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;9;7;11;100,0;31;31;0;9;0,0;1;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;14;12;16;100,0;31;31;0;14;0,0;2;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;14;12;16;100,0;31;31;0;14;0,0;Totalt i retning Planetariet/UIT;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;9;7;11;100,0;31;31;0;9;0,0;Totalt i retning UNN;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;23;19;27;100,0;31;31;0;23;0,0;Totalt;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-08-01T00:00+02:00;2022-09-01T00:00+02:00;2022;8;26;19;33;100,0;31;31;0;26;0,0;1;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-08-01T00:00+02:00;2022-09-01T00:00+02:00;2022;8;28;22;34;100,0;31;31;0;28;0,0;2;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-08-01T00:00+02:00;2022-09-01T00:00+02:00;2022;8;28;22;34;100,0;31;31;0;28;0,0;Totalt i retning Planetariet/UIT;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-08-01T00:00+02:00;2022-09-01T00:00+02:00;2022;8;26;19;33;100,0;31;31;0;26;0,0;Totalt i retning UNN;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-08-01T00:00+02:00;2022-09-01T00:00+02:00;2022;8;54;42;66;100,0;31;31;0;54;0,0;Totalt;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-09-01T00:00+02:00;2022-10-01T00:00+02:00;2022;9;32;25;39;100,0;30;30;0;32;0,0;1;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-09-01T00:00+02:00;2022-10-01T00:00+02:00;2022;9;31;25;37;100,0;30;30;0;31;0,0;2;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-09-01T00:00+02:00;2022-10-01T00:00+02:00;2022;9;31;25;37;100,0;30;30;0;31;0,0;Totalt i retning Planetariet/UIT;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-09-01T00:00+02:00;2022-10-01T00:00+02:00;2022;9;32;25;39;100,0;30;30;0;32;0,0;Totalt i retning UNN;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-09-01T00:00+02:00;2022-10-01T00:00+02:00;2022;9;62;50;74;100,0;30;30;0;62;0,0;Totalt;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-10-01T00:00+02:00;2022-11-01T00:00+01:00;2022;10;17;12;22;100,0;31;31;0;17;0,0;1;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-10-01T00:00+02:00;2022-11-01T00:00+01:00;2022;10;20;15;25;100,0;31;31;0;20;0,0;2;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-10-01T00:00+02:00;2022-11-01T00:00+01:00;2022;10;20;15;25;100,0;31;31;0;20;0,0;Totalt i retning Planetariet/UIT;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-10-01T00:00+02:00;2022-11-01T00:00+01:00;2022;10;17;12;22;100,0;31;31;0;17;0,0;Totalt i retning UNN;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-10-01T00:00+02:00;2022-11-01T00:00+01:00;2022;10;37;26;48;100,0;31;31;0;37;0,0;Totalt;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-11-01T00:00+01:00;2022-12-01T00:00+01:00;2022;11;12;9;15;100,0;30;30;0;12;0,0;1;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-11-01T00:00+01:00;2022-12-01T00:00+01:00;2022;11;13;10;16;100,0;30;30;0;13;0,0;2;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-11-01T00:00+01:00;2022-12-01T00:00+01:00;2022;11;13;10;16;100,0;30;30;0;13;0,0;Totalt i retning Planetariet/UIT;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-11-01T00:00+01:00;2022-12-01T00:00+01:00;2022;11;12;9;15;100,0;30;30;0;12;0,0;Totalt i retning UNN;-;-;-;-;-;-;-;-
